temperature,seed,n_samples,accuracy,Mean,STD,Max,Q10,Q25,Q50,Q75,Q90,Skew,Kurt,SE_sum,NLL_avg,NLL_max,NLL_sum,LNTP,MTP,PPL
0.3,42,500,0.4,0.66035,0.6603000000000001,0.7080249999999999,0.81215,0.7944833333333334,0.7148749999999999,0.6668416666666667,0.6634833333333334,0.5863499999999999,0.56505,0.7866166666666666,0.6523333333333333,0.6925833333333333,0.7686833333333333,0.6523333333333333,0.6925833333333333,0.6523333333333333
0.3,43,500,0.422,0.6570294691615146,0.6499286639662836,0.705472375735909,0.8337788418963907,0.8194952360648747,0.7181898686433035,0.6530280916381049,0.671091687302186,0.6040440151527575,0.5849062792108759,0.7985208022433954,0.6287082438216435,0.6682546450417357,0.7708719395201626,0.6287082438216435,0.6682628445858411,0.6287082438216435
0.3,44,500,0.416,0.7019889357218124,0.6935754741833509,0.7166425184404637,0.8305453108535301,0.8048439146469969,0.7319629214963119,0.6927769362486829,0.6964074025289778,0.6467663329820864,0.6283423340358272,0.8164350632244468,0.6599216280295047,0.6639966412012646,0.7873913329820863,0.6599216280295047,0.6640213382507902,0.6599216280295047
0.5,42,500,0.404,0.6898465014286663,0.7155458834474051,0.763265000996744,0.8168981327662969,0.7960163466011031,0.7169164064057414,0.6571200744235497,0.6705179746162535,0.5809189979400624,0.553824174363745,0.7986244933218154,0.6642800186058874,0.6728104857465613,0.7827762642036018,0.6642800186058875,0.6728104857465612,0.6642800186058874
0.5,43,500,0.408,0.65732644409115,0.6681736883942767,0.7234201112877583,0.805991653418124,0.7935049019607843,0.7136824324324325,0.6585436539480657,0.6457256889242184,0.582240328563858,0.5571509009009009,0.8048158452570218,0.6252980922098569,0.6688526762056175,0.7736320879703231,0.625298092209857,0.6688526762056174,0.6252980922098569
0.5,44,500,0.406,0.7142027831683004,0.7257799671592775,0.7735980494601183,0.8302400026537957,0.8142177107694349,0.7436516229619679,0.6969779900814385,0.7113001940588147,0.6089134364996435,0.5783118541739232,0.8255626876316531,0.6975999734620425,0.6983214741835432,0.8170539549849895,0.6975999734620424,0.6983214741835432,0.6975999734620425
0.7,42,500,0.368,0.7167033571821684,0.7415038525041276,0.769847275729224,0.8340327462850854,0.8095246285085306,0.7504471656576776,0.6897014309301046,0.693725921849202,0.6027449091909742,0.5790795266923501,0.8034018987341771,0.6878267749036874,0.6821168134287288,0.7854464777105118,0.6878267749036875,0.6821168134287287,0.6878267749036874
0.7,43,500,0.416,0.7263402265542678,0.7513336406743941,0.7899104320337198,0.8284542939936774,0.8160234457323499,0.7620356954689146,0.6986630663856692,0.7117031085353003,0.6158291622760801,0.5868348261327714,0.8276475237091674,0.6882409114857745,0.6708788856691253,0.80171562170706,0.6882409114857745,0.6708788856691255,0.6882409114857745
0.7,44,500,0.384,0.7457893668831168,0.7616172889610389,0.7859341179653678,0.837121212121212,0.8230012175324676,0.7606872294372293,0.7192742153679653,0.7305279356060604,0.6468817640692641,0.617677895021645,0.839251893939394,0.7155877976190477,0.7074540043290043,0.829596185064935,0.7155877976190477,0.7074540043290043,0.7155877976190477
1.0,42,500,0.378,0.7244424028989945,0.752173395260212,0.7796491944401911,0.831028088262815,0.8075673284676501,0.7341057180285476,0.6965582946290342,0.7148641521631875,0.6029874615083618,0.5792034570169619,0.8147807890573164,0.7129587097432757,0.704520321883666,0.8132836557273856,0.7129587097432757,0.704520321883666,0.7129587097432757
1.0,43,500,0.414,0.7476711018779575,0.7654778981385304,0.7669288222782806,0.8004649552356927,0.7824603056833359,0.7324528861848939,0.7120080460338657,0.7452638868279171,0.6283655669321199,0.6012926415063231,0.812088836128011,0.7200211043511235,0.6788428879985491,0.7979093502168142,0.7200211043511237,0.6788428879985491,0.7200211043511235
1.0,44,500,0.38,0.7450424448217318,0.7727164685908319,0.798590831918506,0.8084889643463498,0.7899151103565365,0.7354838709677418,0.7060611205432936,0.7349745331069609,0.6250764006791171,0.6041426146010187,0.811646859083192,0.7370797962648555,0.6938539898132428,0.8072665534804755,0.7370797962648556,0.6938539898132428,0.7370797962648555
