llm,extremes_r,extremes_mae,intermediate_r,intermediate_mae
phi3-3b,0.9929674716046302,0.03195511805534642,0.9930895214743017,0.08993938378253476
ministral3-3b,0.9826198897758804,0.06829132265083701,0.9365285131315297,0.12042200883865861
ministral3-8b,0.9687918280849823,0.0759987578199329,0.930438994821267,0.13229839514822267
qwen3-4b,0.933829672349432,0.08441277900248619,0.9790019981973765,0.12521899977384107
qwen3-8b,0.9036873272944735,0.1265211840360739,0.8357978514355914,0.17310708438528188
gemma3-4b,0.9840863223512857,0.09312177386376524,0.980582897748344,0.14466788513781162
gemma3-12b,0.9741524550600498,0.08086189568486367,0.9783375438447486,0.12878611343284882
llama3-8b,0.9783153274199841,0.07113346016889123,0.9751812274572339,0.12740064360109163
oss-20b,0.8280702310806581,0.15328607642293446,0.94425270688149,0.1867713943212005
