llm,composition,es_mae,atc_mean,atc_std,atc_max,atc_q10,atc_q25,atc_q50,atc_q75,atc_q90,atc_skewness,atc_kurtosis,atc_se_sum,atc_nll_avg,atc_nll_max,atc_nll_sum,atc_lntp,atc_mtp,atc_ppl
phi3-3b,gsm-test,0.2755943236279289,0.12949084096833247,0.07292081454109853,0.0525146803120388,0.07337682750486227,0.0675144793078344,0.11852639321962295,0.17544244171121953,0.12982375260690768,0.2698587419230141,0.29913221303795434,0.09364987883941461,0.1452593373967794,0.05995105170901525,0.09066422171594772,0.11181128734911353,0.05995105170901525,0.1452593373967794
phi3-3b,gsmsymbolic-test,0.1641962894302518,0.06156424442858669,0.04163526447550529,0.05131742525692821,0.6462246937944627,0.1046995382008183,0.07545580014889115,0.0900302231619314,0.07312092998905918,0.16972730998373256,0.18359383309619903,0.09072947302765876,0.06787672934547329,0.05983580584800574,0.09024856749601236,0.11520177369130688,0.05983580584800574,0.06787672934547329
phi3-3b,svamp-test,0.2544887631688064,0.17768137644993215,0.08949393725646784,0.05346657105451378,0.15571503931991737,0.1421262514823511,0.17593348704448988,0.21578258768353856,0.1336422216031629,0.3496855572764788,0.375803779818176,0.09416934201533624,0.17623486780472727,0.08266093201603267,0.09618296461131769,0.11499639205314897,0.08266093201603267,0.17623486780472727
phi3-3b,mathhendrycks-test,0.0976820186828821,0.07185537742719432,0.056503196336414874,0.09019898844146713,0.07464701609238016,0.12039817886754808,0.09597546657456947,0.09209370247443459,0.09047993169075275,0.15910630347979288,0.17464675301784877,0.12692602727416297,0.08261036469907405,0.1309552892574811,0.1187273200381902,0.12905472918103597,0.1309552892574811,0.08261036469907405
phi3-3b,olympiadbench-test,0.2335323072670486,0.0703725770597415,0.04232827672543773,0.05308203341463141,0.06944043859598772,0.38196214773338666,0.07795814972456305,0.10707038411049619,0.08632823733098098,0.19361657745001176,0.20622949467645424,0.09368288772542244,0.07930728371408828,0.11116467381012118,0.08966950833472342,0.12007141907567047,0.11116467381012118,0.07930728371408828
phi3-3b,gpqa-test,0.2963895870420069,0.36682488966479304,0.3690069022453458,0.14750636310563295,0.36287266723725525,0.3633281160625456,0.36709434147840225,0.36749115907092256,0.3669850642232891,0.3663461769846388,0.3669307385269581,0.3688291396871685,0.36716216831113546,0.36670477699316495,0.3709870341300304,0.37069282423055067,0.36670477699316495,0.36716216831113546
phi3-3b,scibench-test,0.1120990400441482,0.08771566530848744,0.06420129308305036,0.07343531163694753,0.07237886330067143,0.06469332657916493,0.0892720586014325,0.13365991503000613,0.10133165654505953,0.20207948177987514,0.22152809613137364,0.1253534902281968,0.08296004944213811,0.062410439010590776,0.12488710654081212,0.16584618867941842,0.062410439010590776,0.08296004944213811
phi3-3b,theoremqa-test,0.1946418786768644,0.06269695921934096,0.053271531063736076,0.07674666362844713,0.0687544244783959,0.05756985213389391,0.07356512444927786,0.08118780690565777,0.07120970044344897,0.15589336965126604,0.1678160641051089,0.1208829548684491,0.06873456925208055,0.06160695620765074,0.12186622621708942,0.15071083390199658,0.06160695620765074,0.06873456925208055
phi3-3b,livemathbench-test,0.3066517439019406,0.37681341098920035,0.07480000446918912,0.056814538440173035,0.0950355837599447,0.3596010853779026,0.37200636389379277,0.37290146247136924,0.3752608356244761,0.3756942318249576,0.37313809180847296,0.09501374928375336,0.3765207280623711,0.10046933398479233,0.0945853412468824,0.16895515750096854,0.10046933398479233,0.3765207280623711
phi3-3b,matscibench-test,0.2341271307659556,0.09991852618118036,0.047076567585440175,0.08649092518186927,0.0604669177199272,0.06017753220236867,0.11779283581538214,0.16419283366812248,0.12155061368545857,0.2530740212782673,0.27018275933487745,0.12238065881952678,0.0987233040795659,0.05849634561942506,0.1284104385087344,0.13453478909698893,0.05849634561942506,0.0987233040795659
