MODEL,n_categories,pearson_r,pearson_p,r_ci_lo,r_ci_hi,mean_slice_ci_width
phi3-3b,11,0.9094679175102921,0.0001036949700136801,0.6812730545460507,0.9765625518561721,0.3448515711799021
llama3-8b,11,0.8922548455403035,0.00022121900266205177,0.6291004064155791,0.971918729645977,0.33022978521575713
gemma3-12b,11,0.842656923126042,0.0011282537263714875,0.4909533410782754,0.9581817579069801,0.33711019521083707
gemma3-4b,11,0.7919532448421969,0.0036685720713778886,0.3659141516815237,0.9435657034337185,0.342564380083466
oss-20b,11,0.5407186179490867,0.08589596867430443,-0.08755655352099934,0.8612390446434405,0.332563578362487
qwen3-8b,11,0.5388515852637433,0.08719807779802938,-0.09017044908809352,0.8605570411260712,0.3790153067334542
ministral3-8b,11,0.3847787125114441,0.2426071866569908,-0.27964333354979315,0.7999987145024234,0.28243497445137483
qwen3-4b,11,0.21835381699535844,0.5189106881850035,-0.43902716999121916,0.7234656793461989,0.3058743100273567
ministral3-3b,11,-0.21569890780734444,0.524131474915995,-0.722135133943286,0.4412735419224587,0.45752500627759046
