MODEL,pearson_r,pearson_p,auroc_bad4,mae
phi3-3b,0.9094679175102919,0.0001036949700136801,0.9642857142857143,0.27538045317094695
llama3-8b,0.8922548455403035,0.00022121900266205177,1.0,0.47358689072103677
gemma3-12b,0.8426569231260418,0.0011282537263715012,0.8214285714285714,0.513430933466598
gemma3-4b,0.7919532448421972,0.003668572071377872,0.8214285714285714,0.6234104733018784
oss-20b,0.5407186179490885,0.0858959686743032,0.75,0.4004297692566666
qwen3-8b,0.538851585263743,0.08719807779802968,0.7142857142857142,0.3387840163299376
ministral3-8b,0.38477871251144397,0.2426071866569911,0.8214285714285714,0.5872871522994735
qwen3-4b,0.21835381699535955,0.5189106881850013,0.5,0.5464774131589263
ministral3-3b,-0.21569890780734438,0.524131474915995,0.25,0.5751123572159131
