k,spearman_rho_median,spearman_rho_iqr,mae_median,mae_iqr
1,0.7333333333333332,0.9454545454545453,1.816242980610781,0.15197964138979714
2,0.7999999999999999,0.17500000000000004,1.7202594816371108,0.10151217294187287
3,0.8095238095238096,0.16666666666666663,1.690085241090852,0.09265030738555136
4,0.8214285714285715,0.1785714285714285,1.6774992618197633,0.09352237334994062
5,0.8285714285714287,0.17142857142857149,1.6617255700320097,0.1028699913537976
