deployment,llm,es_mae,atc_mean,atc_std,atc_max,atc_q10,atc_q25,atc_q50,atc_q75,atc_q90,atc_skewness,atc_kurtosis,best_atc,best_atc_feat
extremes,phi3-3b,0.03195511805534642,0.07027893497687857,0.04685599284560941,0.053125275326139344,0.06338585590517834,0.0763089187813952,0.08878879261996209,0.1011680773112928,0.0783362962598507,0.17472966845826784,0.19018793641471557,0.04685599284560941,std
extremes,ministral3-3b,0.06829132265083701,0.05647508689393601,0.06054553270223998,0.07383324167105894,0.09216014902982902,0.0806929084350497,0.057403378176667165,0.05268914990287434,0.05817665965992831,0.0572508098579135,0.05898052290182014,0.05268914990287434,q75
extremes,ministral3-8b,0.0759987578199329,0.06255738407006546,0.06655531843719203,0.07308698044236933,0.08555029313817578,0.08097331776796932,0.07168101777031402,0.06263924358290798,0.06287344587254451,0.06872887597335205,0.06875312347523552,0.06255738407006546,mean
extremes,qwen3-4b,0.08441277900248619,0.09956554124128758,0.09494244346488352,0.08120958900924484,0.10335941505825304,0.11826074730607106,0.1328611305469007,0.11109502592292816,0.09466227373307012,0.12387039903445118,0.1277153094061745,0.08120958900924484,max
extremes,qwen3-8b,0.1265211840360739,0.18357065516764237,0.16889806998995133,0.17433610561346408,0.12508804828006775,0.15397639414520806,0.19087897058944353,0.18361837791229904,0.17216562319405293,0.1896385055952628,0.18625480022854765,0.12508804828006775,q10
extremes,gemma3-4b,0.09312177386376524,0.1446355372256106,0.10755907768232116,0.07333973543348271,0.08361005073518306,0.0886379787505078,0.1241493257494449,0.1807135938438839,0.16700231733416243,0.24227577400125083,0.25411858179096425,0.07333973543348271,max
extremes,gemma3-12b,0.08086189568486367,0.15297544805930866,0.11046256797235995,0.07820420721021801,0.10455615846105515,0.10129780515103859,0.1258411780031116,0.18705684172522505,0.16859874780332668,0.2542234049724826,0.26013080011764333,0.07820420721021801,max
extremes,llama3-8b,0.07113346016889123,0.24632009986768616,0.15217275083943171,0.056695692695192555,0.1758133005250569,0.19385716585982765,0.28137662947653924,0.30826260335486594,0.20563732601324677,0.22632221689186188,0.2249876362258289,0.056695692695192555,max
extremes,oss-20b,0.15328607642293446,0.14371291686014015,0.1627434286471206,0.0856126810616992,0.14297218317043298,0.14196079782394072,0.1494905218827011,0.14456205231442693,0.15779050755614707,0.14307525901345733,0.1416409807656358,0.0856126810616992,max
intermediate,phi3-3b,0.08993938378253476,0.0881569742560437,0.07127955873200227,0.0514515571476077,0.07507974226053989,0.08807153021694313,0.09253862484131423,0.11982959193732849,0.10456681627564116,0.18770420494205003,0.2024957885340505,0.0514515571476077,max
intermediate,ministral3-3b,0.12042200883865861,0.05614336527774437,0.06259029112102668,0.069009885450358,0.08818864676924373,0.07589765030595745,0.0609507315406745,0.056040605285181955,0.05652508408100312,0.057457536316974034,0.05542797836147599,0.05542797836147599,kurtosis
intermediate,ministral3-8b,0.13229839514822267,0.08062525285435959,0.06848318173905131,0.06693417797459904,0.08579140976882267,0.07897578376959591,0.08445709626404886,0.08458597542662279,0.07713851585992294,0.08834850509608531,0.09266134647378288,0.06693417797459904,max
intermediate,qwen3-4b,0.12521899977384107,0.14186816476253544,0.12290178363649781,0.08647943743129494,0.11842719158259814,0.14305759104413163,0.1812373118252338,0.17561933575202868,0.14587637759040195,0.1991245711017529,0.20895076702412047,0.08647943743129494,max
intermediate,qwen3-8b,0.17310708438528188,0.2110932912186918,0.17693525881563366,0.19580379826788585,0.1657319226678842,0.2002510862191798,0.24840259327714312,0.2170989667613878,0.1858830187401588,0.2329390297413601,0.22443449452257863,0.1657319226678842,q10
intermediate,gemma3-4b,0.14466788513781162,0.1871512051301182,0.14802896583477848,0.09077165843081549,0.12346741904814287,0.11633143480875681,0.14597302418915398,0.19847568295022625,0.21029029061091173,0.2610592280681297,0.26733783506411846,0.09077165843081549,max
intermediate,gemma3-12b,0.12878611343284882,0.19241238035082925,0.15055573071179804,0.09258441428593892,0.1416225900433265,0.13594008212497657,0.16493382145350824,0.20831795930314168,0.1980020455852972,0.26339769456635437,0.2675866757935096,0.09258441428593892,max
intermediate,llama3-8b,0.12740064360109163,0.25268499060907373,0.16910882390762244,0.05665207351169149,0.16846381195231383,0.16882577138440003,0.2423450916652891,0.3064473831279094,0.2239001599565415,0.2330670300182358,0.23467093244805476,0.05665207351169149,max
intermediate,oss-20b,0.1867713943212005,0.19277985286036273,0.20154629121316114,0.0785425401511516,0.19174894293991468,0.17855859837984478,0.18300772161446086,0.18745364097200018,0.19547892259278593,0.18796928071711488,0.1928756492024945,0.0785425401511516,max
