llm,composition,weighted_acc,mae
phi3-3b,gpqa-test+gsmsymbolic-test+matscibench-test,0.5598686751641561,0.0636728051942643
phi3-3b,gsmsymbolic-test+scibench-test+theoremqa-test,0.603495145631068,0.0995276550041971
phi3-3b,gsmsymbolic-test+livemathbench-test+scibench-test,0.6291819555363696,0.0851132319628521
phi3-3b,gsmsymbolic-test+matscibench-test+scibench-test,0.5635585334077796,0.0726418333646842
phi3-3b,gsmsymbolic-test+livemathbench-test+theoremqa-test,0.6311738293778063,0.1068895001287074
phi3-3b,gsmsymbolic-test+matscibench-test+theoremqa-test,0.5658113346870962,0.0761664625283906
phi3-3b,gsmsymbolic-test+livemathbench-test+matscibench-test,0.5861224489795919,0.0582577710946405
phi3-3b,mathhendrycks-test+olympiadbench-test+svamp-test,0.2519553072625698,0.0479450554274648
phi3-3b,gpqa-test+mathhendrycks-test+svamp-test,0.3937875751503006,0.0541835440184287
phi3-3b,mathhendrycks-test+scibench-test+svamp-test,0.43755238893545684,0.0701911590798292
phi3-3b,mathhendrycks-test+svamp-test+theoremqa-test,0.4518997574777688,0.0778663808166681
phi3-3b,livemathbench-test+mathhendrycks-test+svamp-test,0.5083333333333333,0.0653017309073725
phi3-3b,mathhendrycks-test+matscibench-test+svamp-test,0.32808219178082193,0.0464220417335404
phi3-3b,gpqa-test+olympiadbench-test+svamp-test,0.19279176201372997,0.0862446548365742
phi3-3b,olympiadbench-test+scibench-test+svamp-test,0.23983530622748328,0.0490185573110252
phi3-3b,olympiadbench-test+svamp-test+theoremqa-test,0.25314544539506795,0.0587043652108472
phi3-3b,livemathbench-test+olympiadbench-test+svamp-test,0.2108843537414966,0.0417351207809151
phi3-3b,matscibench-test+olympiadbench-test+svamp-test,0.19140271493212668,0.0595999995211372
phi3-3b,gpqa-test+scibench-test+svamp-test,0.35447437011294525,0.0615680840812341
phi3-3b,gpqa-test+svamp-test+theoremqa-test,0.3723849372384937,0.0720578953594419
phi3-3b,gpqa-test+livemathbench-test+svamp-test,0.37168141592920356,0.0629539720825861
phi3-3b,gpqa-test+matscibench-test+svamp-test,0.25740479548660083,0.0636838685150558
phi3-3b,scibench-test+svamp-test+theoremqa-test,0.41294964028776976,0.0992946196600876
phi3-3b,livemathbench-test+scibench-test+svamp-test,0.436426116838488,0.0690989689755432
phi3-3b,matscibench-test+scibench-test+svamp-test,0.30626162430254183,0.0514049651378748
phi3-3b,livemathbench-test+svamp-test+theoremqa-test,0.4558342420937841,0.0909645023146732
phi3-3b,matscibench-test+svamp-test+theoremqa-test,0.3204586602293301,0.0648164934664051
phi3-3b,livemathbench-test+matscibench-test+svamp-test,0.2964912280701754,0.0543529651762748
phi3-3b,gpqa-test+mathhendrycks-test+olympiadbench-test,0.14046121593291405,0.1176400335026496
phi3-3b,mathhendrycks-test+olympiadbench-test+scibench-test,0.1887779362815026,0.0984959569042177
phi3-3b,mathhendrycks-test+olympiadbench-test+theoremqa-test,0.20214252445272474,0.1072599494726369
phi3-3b,livemathbench-test+mathhendrycks-test+olympiadbench-test,0.14785276073619633,0.1093819673627615
phi3-3b,mathhendrycks-test+matscibench-test+olympiadbench-test,0.14936708860759493,0.1269365730838394
phi3-3b,gpqa-test+mathhendrycks-test+scibench-test,0.2585812356979405,0.0960385164861408
phi3-3b,gpqa-test+mathhendrycks-test+theoremqa-test,0.2774907749077491,0.1026313591833668
phi3-3b,gpqa-test+livemathbench-test+mathhendrycks-test,0.21837708830548927,0.0804740895085871
phi3-3b,gpqa-test+mathhendrycks-test+matscibench-test,0.18757921419518378,0.1194686230121615
phi3-3b,mathhendrycks-test+scibench-test+theoremqa-test,0.3258064516129032,0.1070226102562514
phi3-3b,livemathbench-test+mathhendrycks-test+scibench-test,0.3020329138431752,0.0859104938713396
phi3-3b,mathhendrycks-test+matscibench-test+scibench-test,0.23970671178793007,0.1010098222450879
phi3-3b,livemathbench-test+mathhendrycks-test+theoremqa-test,0.32404828226555243,0.1098705244520253
phi3-3b,mathhendrycks-test+matscibench-test+theoremqa-test,0.2542652724270776,0.108025144958085
phi3-3b,livemathbench-test+mathhendrycks-test+matscibench-test,0.20692307692307693,0.1070855546964051
phi3-3b,gpqa-test+olympiadbench-test+scibench-test,0.13731198447355653,0.1363229026158806
phi3-3b,gpqa-test+olympiadbench-test+theoremqa-test,0.15201900237529692,0.1456711708568325
phi3-3b,gpqa-test+livemathbench-test+olympiadbench-test,0.07997481108312343,0.2389485078829204
phi3-3b,gpqa-test+matscibench-test+olympiadbench-test,0.10309278350515463,0.2186674829362621
phi3-3b,olympiadbench-test+scibench-test+theoremqa-test,0.19521739130434781,0.1228594981114386
phi3-3b,livemathbench-test+olympiadbench-test+scibench-test,0.1435782389231632,0.1323083691804918
phi3-3b,matscibench-test+olympiadbench-test+scibench-test,0.14625445897740785,0.1464925110551288
phi3-3b,livemathbench-test+olympiadbench-test+theoremqa-test,0.16037219485495346,0.1344537203381418
phi3-3b,matscibench-test+olympiadbench-test+theoremqa-test,0.15816127775613556,0.1442445815217888
phi3-3b,livemathbench-test+matscibench-test+olympiadbench-test,0.10390243902439024,0.2131480634851576
phi3-3b,gpqa-test+scibench-test+theoremqa-test,0.2592838196286472,0.1278105036223252
phi3-3b,gpqa-test+livemathbench-test+scibench-test,0.19979818365287588,0.1240547082836443
phi3-3b,gpqa-test+matscibench-test+scibench-test,0.17966493356441363,0.1473549886519129
phi3-3b,gpqa-test+livemathbench-test+theoremqa-test,0.22705314009661837,0.1252733338683938
phi3-3b,gpqa-test+matscibench-test+theoremqa-test,0.19605633802816902,0.135614694099823
phi3-3b,gpqa-test+livemathbench-test+matscibench-test,0.1232114467408585,0.2401256109444078
phi3-3b,livemathbench-test+scibench-test+theoremqa-test,0.2959349593495935,0.1234364809899543
phi3-3b,matscibench-test+scibench-test+theoremqa-test,0.24213197969543146,0.1227698006889393
phi3-3b,livemathbench-test+matscibench-test+scibench-test,0.19545767377838955,0.1256310271777657
phi3-3b,livemathbench-test+matscibench-test+theoremqa-test,0.21442885771543085,0.1410921273885242
ministral3-3b,gsm-test+gsmsymbolic-test+svamp-test,0.8356940509915014,0.2606534518241988
ministral3-3b,gsm-test+gsmsymbolic-test+mathhendrycks-test,0.8260311640696608,0.2544466609146573
ministral3-3b,gsm-test+gsmsymbolic-test+olympiadbench-test,0.7294117647058823,0.0980695999056624
ministral3-3b,gpqa-test+gsm-test+gsmsymbolic-test,0.7862553112876408,0.1170840724938365
ministral3-3b,gsm-test+gsmsymbolic-test+scibench-test,0.7865549215406562,0.1495218650172696
ministral3-3b,gsm-test+gsmsymbolic-test+theoremqa-test,0.7938782731776363,0.1714026494846778
ministral3-3b,gsm-test+gsmsymbolic-test+livemathbench-test,0.8192794547224928,0.2065141291427343
ministral3-3b,gsm-test+gsmsymbolic-test+matscibench-test,0.7494468085106383,0.111499309800577
ministral3-3b,gsm-test+mathhendrycks-test+svamp-test,0.8831858407079646,0.2410135160887311
ministral3-3b,gsm-test+olympiadbench-test+svamp-test,0.6204498977505113,0.0658288690304872
ministral3-3b,gpqa-test+gsm-test+svamp-test,0.7543859649122807,0.0916087098302762
ministral3-3b,gsm-test+scibench-test+svamp-test,0.7586580086580087,0.1118601778502508
ministral3-3b,gsm-test+svamp-test+theoremqa-test,0.781183932346723,0.1589083072312915
ministral3-3b,gsm-test+livemathbench-test+svamp-test,0.8712727272727273,0.1457008938725978
ministral3-3b,gsm-test+matscibench-test+svamp-test,0.6591016548463356,0.0831872863890313
ministral3-3b,gsm-test+mathhendrycks-test+olympiadbench-test,0.6134357005758158,0.0612640520193573
ministral3-3b,gpqa-test+gsm-test+mathhendrycks-test,0.7324875896304468,0.0881056188205913
ministral3-3b,gsm-test+mathhendrycks-test+scibench-test,0.7385458167330677,0.1188161845462402
ministral3-3b,gsm-test+mathhendrycks-test+theoremqa-test,0.7597465886939572,0.1549562016302187
ministral3-3b,gsm-test+livemathbench-test+mathhendrycks-test,0.8332247557003257,0.1306800722072819
ministral3-3b,gsm-test+mathhendrycks-test+matscibench-test,0.6483516483516484,0.083511969568267
ministral3-3b,gpqa-test+gsm-test+olympiadbench-test,0.5259461568474444,0.0586303763169971
ministral3-3b,gsm-test+olympiadbench-test+scibench-test,0.5449601160261058,0.071760886366967
ministral3-3b,gsm-test+olympiadbench-test+theoremqa-test,0.5635260528194147,0.0907831467064618
ministral3-3b,gsm-test+livemathbench-test+olympiadbench-test,0.5684901531728666,0.0576757593855666
ministral3-3b,gsm-test+matscibench-test+olympiadbench-test,0.49421487603305786,0.0622580023909857
ministral3-3b,gpqa-test+gsm-test+scibench-test,0.6271617497456765,0.0827207229324701
ministral3-3b,gpqa-test+gsm-test+theoremqa-test,0.6512437810945274,0.1069891243798217
ministral3-3b,gpqa-test+gsm-test+livemathbench-test,0.6892163429336906,0.0704022795677022
ministral3-3b,gpqa-test+gsm-test+matscibench-test,0.54858934169279,0.0810700314603737
ministral3-3b,gsm-test+scibench-test+theoremqa-test,0.6639455782312925,0.1252164818292869
ministral3-3b,gsm-test+livemathbench-test+scibench-test,0.7014218009478673,0.0953176411520991
ministral3-3b,gsm-test+matscibench-test+scibench-test,0.5683690280065898,0.0884302423261341
ministral3-3b,gsm-test+livemathbench-test+theoremqa-test,0.7274826789838337,0.1322257712646414
ministral3-3b,gsm-test+matscibench-test+theoremqa-test,0.5889967637540453,0.0913795137893759
ministral3-3b,gsm-test+livemathbench-test+matscibench-test,0.6015345268542199,0.0698295873960345
ministral3-3b,gsmsymbolic-test+mathhendrycks-test+svamp-test,0.8101293103448276,0.2631759727273965
