MODEL,mean,std,max,q10,q25,q50,q75,q90,skewness,kurtosis,se_sum,nll_avg,nll_max,nll_sum,lntp,mtp,ppl
llama3-8b,0.775589420621704,0.8118657294174882,-0.13612224950341817,0.09034469035571688,0.3825191468619612,0.7124398662035129,0.7757070063688717,0.7983226593865955,-0.8439154759932075,-0.5385238859831909,0.029684495396207624,0.7588050046755002,-0.2996367274205304,0.08276933468854702,0.5821805323913407,-0.2675518784187694,0.7425095464020648
gemma3-4b,0.9098476272354786,0.914827155562226,0.8165429607925945,0.5152181246715706,0.6505405489471764,0.873695953211704,0.9112425706927714,0.9150098445122246,-0.8896709330201038,-0.8772938920413238,0.8174252667357194,0.9098990981629408,0.7902030869108786,0.8267533991686845,0.5321983253645692,0.7741936420658285,0.9063571255699202
gemma3-12b,0.9361262118406223,0.9412759768916131,0.6069060672706841,0.39938260714510915,0.638389646183124,0.8855060312609164,0.945386297765658,0.9442927100820765,-0.9271580148131768,-0.8679586439448799,0.8138631760853157,0.936278681623701,0.7106744876541317,0.8191838974841786,0.3895969951571797,0.7226035080842971,0.9308970474175492
phi3-3b,0.9095463901269714,0.8941415685290584,0.826792624160756,0.3641896735632079,0.5374643401825651,0.8905805431542365,0.9109307240410449,0.9032725656553685,-0.8776922167924832,-0.8354413803184968,0.13963533547708612,0.900828461182069,0.77994488784806,0.20357543769558997,0.4794585727373291,0.7694634021387455,0.8985322548383784
ministral3-3b,0.30647572869333545,-0.08220698853666575,-0.29820191916330147,0.2520036923961723,0.28250591773853023,0.3036481879331801,0.30705249826637787,0.30578313810327834,-0.34453021664749395,-0.13264425609034067,0.1676985416987015,0.34274249300000653,0.07958334532306578,0.2492236587795166,0.33682510424856366,0.06413218906458641,0.3244372340088944
ministral3-8b,0.5992346267634756,0.6452178249255544,0.5021631760246675,0.2852498382879682,0.4028783776679684,0.5710436539346785,0.6239919720096917,0.6292101704584825,-0.5917645213212803,-0.5766108500944609,0.5526412105323399,0.6082601069385997,0.5373884019837883,0.5731706661878366,0.6026338230140412,0.5312743576356342,0.5960666880219799
oss-20b,-0.43448653502408907,-0.43500010577817116,0.10610083768158313,-0.5558409855406103,-0.4860828017071654,-0.41800363133385493,-0.40924618774579935,-0.48158154134870024,0.4274641569242073,0.4391491908201504,-0.17631019661390243,-0.4158985032354793,-0.3890085084774759,-0.2231672457298274,-0.48542464347629805,-0.4113564947778469,-0.41077489441544085
qwen3-4b,0.5005327034802409,0.4946867105253005,0.35415166898799705,0.1428485525319113,0.37036696623426985,0.4872653426773782,0.49329739570058007,0.46700328688456266,-0.16539184485139435,0.14464098880682352,0.4638884932090093,0.48345916524112226,0.47118578355182067,0.4556776293924817,0.5066280631408023,0.49554167658425946,0.4913235398753778
qwen3-8b,0.3711399684273165,0.4389557785461217,-0.02726619799126144,0.19183389229805844,0.42680085150597563,0.4012065550749374,0.30941878016861407,0.4183070121580342,-0.2739425079341212,0.010415208166105305,-0.4140577163775517,0.2877679799082715,-0.6650523399560399,-0.4580877977218356,0.06715136801935656,-0.6514661737183579,0.28905291278297246
