llm,group,benchmark,auroc,n,acc
gemma3-4b,extremes,__pooled__,0.865378,8812,0.566727
gemma3-4b,intermediate,gsm-test,0.739462,1319,0.900682
gemma3-4b,intermediate,gsmsymbolic-test,0.763847,5000,0.775400
gemma3-4b,intermediate,svamp-test,0.823273,300,0.916667
gemma3-4b,intermediate,olympiadbench-test,0.900680,1438,0.212100
gemma3-4b,intermediate,gpqa-test,0.609651,448,0.062500
gemma3-4b,intermediate,theoremqa-test,0.676525,747,0.353414
gemma3-4b,intermediate,livemathbench-test,0.574055,100,0.110000
gemma3-4b,intermediate,matscibench-test,0.652372,1025,0.060488
gemma3-4b,intermediate,__pooled__,0.869557,10377,0.579165
gemma3-12b,extremes,gsmsymbolic-test,0.783624,5000,0.870200
gemma3-12b,extremes,svamp-test,0.867738,300,0.946667
gemma3-12b,extremes,mathhendrycks-test,0.874421,500,0.824000
gemma3-12b,extremes,gpqa-test,0.581767,448,0.142857
gemma3-12b,extremes,scibench-test,0.736391,692,0.283237
gemma3-12b,extremes,theoremqa-test,0.649991,747,0.472557
gemma3-12b,extremes,livemathbench-test,0.459280,100,0.120000
gemma3-12b,extremes,matscibench-test,0.662610,1025,0.141463
gemma3-12b,extremes,__pooled__,0.861534,8812,0.660123
gemma3-12b,intermediate,gsm-test,0.810513,1319,0.934041
gemma3-12b,intermediate,gsmsymbolic-test,0.754991,5000,0.870200
gemma3-12b,intermediate,svamp-test,0.861796,300,0.946667
gemma3-12b,intermediate,olympiadbench-test,0.853059,1438,0.300417
gemma3-12b,intermediate,gpqa-test,0.594299,448,0.142857
gemma3-12b,intermediate,theoremqa-test,0.665327,747,0.472557
gemma3-12b,intermediate,livemathbench-test,0.521780,100,0.120000
gemma3-12b,intermediate,matscibench-test,0.647778,1025,0.141463
gemma3-12b,intermediate,__pooled__,0.876801,10377,0.662330
llama3-8b,extremes,gsmsymbolic-test,0.750467,5000,0.723000
llama3-8b,extremes,svamp-test,0.757968,300,0.843333
llama3-8b,extremes,mathhendrycks-test,0.852604,500,0.486000
llama3-8b,extremes,gpqa-test,0.587783,448,0.080357
llama3-8b,extremes,scibench-test,0.750937,692,0.179191
llama3-8b,extremes,theoremqa-test,0.685622,747,0.299866
llama3-8b,extremes,livemathbench-test,0.520737,100,0.070000
llama3-8b,extremes,matscibench-test,0.721351,1025,0.093659
llama3-8b,extremes,__pooled__,0.834544,8812,0.521788
llama3-8b,intermediate,gsm-test,0.727593,1319,0.842305
llama3-8b,intermediate,gsmsymbolic-test,0.713360,5000,0.723000
llama3-8b,intermediate,svamp-test,0.703305,300,0.843333
llama3-8b,intermediate,olympiadbench-test,0.739096,1438,0.106398
llama3-8b,intermediate,gpqa-test,0.585356,448,0.080357
llama3-8b,intermediate,theoremqa-test,0.641329,747,0.299866
llama3-8b,intermediate,livemathbench-test,0.482335,100,0.070000
llama3-8b,intermediate,matscibench-test,0.718705,1025,0.093659
llama3-8b,intermediate,__pooled__,0.843137,10377,0.529536
oss-20b,extremes,gsmsymbolic-test,0.709314,5000,0.894400
oss-20b,extremes,svamp-test,0.786062,300,0.923333
oss-20b,extremes,mathhendrycks-test,0.827430,500,0.884000
oss-20b,extremes,gpqa-test,0.681764,448,0.316964
oss-20b,extremes,scibench-test,0.546691,692,0.514451
oss-20b,extremes,theoremqa-test,0.560099,747,0.633199
oss-20b,extremes,livemathbench-test,0.683794,100,0.230000
oss-20b,extremes,matscibench-test,0.671976,1025,0.405854
oss-20b,extremes,__pooled__,0.691076,8812,0.749092
oss-20b,intermediate,gsm-test,0.721226,1319,0.952995
oss-20b,intermediate,gsmsymbolic-test,0.706771,5000,0.894400
oss-20b,intermediate,svamp-test,0.798619,300,0.923333
oss-20b,intermediate,olympiadbench-test,0.835205,1438,0.415160
oss-20b,intermediate,gpqa-test,0.663261,448,0.316964
oss-20b,intermediate,theoremqa-test,0.565485,747,0.633199
oss-20b,intermediate,livemathbench-test,0.614342,100,0.230000
oss-20b,intermediate,matscibench-test,0.638085,1025,0.405854
oss-20b,intermediate,__pooled__,0.769013,10377,0.737882
